2019-03-18 16:47:19,109 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MavenAutomationProject:MavenAutomationProject:0.0.1 @ D:\TestAutomationWorkspace\CapitaPCSE_Automation\Automation_Project\pom.xml.
2019-03-19 16:00:27,116 [Worker-476] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-api/3.0.1/selenium-api-3.0.1-sources.jar
2019-03-19 16:00:27,953 [Worker-476] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.seleniumhq.selenium:selenium-api:3.0.1
2019-03-19 16:00:29,396 [Worker-476] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:00:29,402 [Worker-476] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:00:29,403 [Worker-476] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:00:29,405 [Worker-476] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:03:33,777 [Worker-476] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:03:33,778 [Worker-476] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:03:33,779 [Worker-476] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:03:33,781 [Worker-476] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:04:01,188 [Worker-471] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:04:01,190 [Worker-471] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:04:01,191 [Worker-471] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:04:01,192 [Worker-471] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:19:43,682 [Worker-475] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:19:43,684 [Worker-475] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:19:43,685 [Worker-475] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:19:43,686 [Worker-475] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:20:04,288 [Worker-471] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:20:04,289 [Worker-471] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:20:04,290 [Worker-471] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 16:20:04,292 [Worker-471] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 16:24:09,346 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:24:09,464 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 16:24:09,467 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:24:09,469 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-27 08:45:27,210 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-27 08:45:27,261 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-08-27 08:45:27,270 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-27 08:45:27,274 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-13 15:17:41,503 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-13 15:17:41,523 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-13 15:17:41,526 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-13 15:17:41,527 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-27 19:34:39,626 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-27 19:34:39,669 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-27 19:34:39,672 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-27 19:34:39,674 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
